TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832374582832291072 -254157 -320773 -336805 -509082
832374582850472832 -254155 -320707 -336761 -509118
832374582868654720 -254151 -320743 -336725 -509116
832374582886836480 -254034 -320715 -336760 -509115
832374582905018368 -254053 -320718 -336721 -509120
832374582923200128 -254016 -320700 -336706 -509055
832374582941382016 -254070 -320715 -336734 -509068
832374582959563776 -254161 -320780 -336725 -509076
832374582977745664 -254300 -320844 -336809 -509119
832374582995927424 -254246 -320787 -336774 -509108
832374583014109312 -254210 -320790 -336707 -509130
832374583032291072 -254126 -320751 -336705 -509104
832374583050472832 -254095 -320720 -336745 -509130
832374583068654720 -253986 -320687 -336707 -509119
832374583086836480 -253995 -320685 -336697 -509108
832374583105018368 -253971 -320648 -336698 -509136
832374583123200128 -254015 -320747 -336714 -509121
832374583141382016 -254179 -320795 -336777 -509189
832374583159563776 -254234 -320768 -336784 -509125
832374583177745664 -254236 -320902 -336842 -509134
832374583195927424 -254251 -320850 -336813 -509104
832374583214109312 -254117 -320761 -336762 -509114
832374583232291072 -254128 -320750 -336746 -509110
832374583250472832 -254039 -320712 -336691 -509088
832374583268654720 -254004 -320705 -336691 -509114
832374583286836480 -253983 -320734 -336663 -509109
832374583305018368 -254014 -320626 -336680 -509116
832374583323200128 -254087 -320698 -336717 -509114
832374583341382016 -254201 -320767 -336694 -509103
832374583359563776 -254302 -320773 -336736 -509097
832374583377745664 -254276 -320836 -336773 -509158
832374583395927424 -254240 -320805 -336721 -509137
832374583414109312 -254213 -320792 -336758 -509105
832374583432291072 -254221 -320766 -336722 -509153
832374583450472832 -254132 -320775 -336772 -509093
832374583468654720 -254087 -320751 -336822 -509132
832374583486836480 -253982 -320663 -336666 -509111
832374583505018368 -254005 -320688 -336695 -509121
832374583523200128 -254068 -320726 -336751 -509090
832374583541382016 -254158 -320808 -336792 -509120
832374583559563776 -254340 -320831 -336810 -509060
832374583577745624 -254310 -320833 -336795 -509081
832374583595959552 -254283 -320832 -336809 -509135
832374583614173440 -254092 -320791 -336755 -509126
832374583632387456 -254135 -320784 -336739 -509115
832374583650601344 -254146 -320741 -336796 -509159
832374583668815360 -254008 -320750 -336737 -509150
832374583687029248 -253950 -320663 -336691 -509104
832374583705243264 -254084 -320685 -336689 -509123
832374583723457152 -254200 -320782 -336789 -509154
832374583741671040 -254315 -320860 -336825 -509139
832374583759885056 -254366 -320890 -336868 -509174
832374583778098944 -254311 -320807 -336807 -509150
832374583796312960 -254298 -320795 -336827 -509130
832374583814526848 -254265 -320790 -336819 -509138
832374583832740736 -254175 -320765 -336787 -509114
832374583850954752 -254188 -320789 -336738 -509113
832374583869168640 -254063 -320722 -336767 -509145
832374583887382656 -254008 -320748 -336741 -509144
832374583905596544 -254097 -320705 -336695 -509101
832374583923810560 -254160 -320753 -336753 -509159
832374583942024448 -254246 -320809 -336796 -509131
832374583960238336 -254446 -320871 -336805 -509133
832374583978452352 -254320 -320839 -336796 -509136
832374583996666240 -254174 -320806 -336791 -509124
832374584014880256 -254197 -320832 -336788 -509156
832374584033094144 -254174 -320785 -336712 -509133
832374584051308032 -254112 -320792 -336792 -509121
832374584069522048 -254016 -320715 -336663 -509075
832374584087735936 -254036 -320719 -336673 -509134
832374584105949952 -254095 -320749 -336758 -509186
832374584124163840 -254169 -320768 -336810 -509204
832374584142377856 -254241 -320801 -336842 -509151
832374584160591744 -254234 -320852 -336814 -509126
832374584178805632 -254224 -320823 -336790 -509127
832374584197019648 -254197 -320835 -336785 -509190
832374584215233536 -254179 -320779 -336775 -509150
832374584233447552 -254127 -320747 -336768 -509145
832374584251661440 -254069 -320792 -336725 -509161
832374584269875456 -253946 -320704 -336717 -509122
832374584288089344 -254042 -320676 -336761 -509152
832374584306303232 -254103 -320675 -336748 -509128
832374584324517248 -254171 -320739 -336723 -509123
832374584342731174 -254316 -320804 -336773 -509097
832374584360945152 -254251 -320841 -336723 -509132
832374584379159168 -254258 -320836 -336779 -509098
832374584397373056 -254205 -320798 -336729 -509116
832374584415587072 -254150 -320802 -336707 -509141
832374584433801088 -254040 -320737 -336772 -509098
832374584452014976 -253971 -320731 -336760 -509125
832374584470228992 -253947 -320751 -336716 -509114
832374584488443008 -254064 -320712 -336681 -509079
832374584506656896 -254138 -320724 -336751 -509099
832374584524870912 -254255 -320809 -336757 -509052
832374584543084928 -254333 -320888 -336810 -509091
832374584561298816 -254274 -320880 -336768 -509126
832374584579512832 -254220 -320804 -336786 -509079
832374584597726848 -254139 -320751 -336765 -509133
832374584615940736 -254101 -320723 -336688 -509085
832374584634154752 -254060 -320677 -336681 -509084
832374584652368768 -254034 -320780 -336719 -509103
832374584670582784 -253992 -320679 -336722 -509090
832374584688796672 -254024 -320713 -336733 -509107
832374584707010688 -254163 -320758 -336770 -509128
832374584725224704 -254234 -320790 -336767 -509099
832374584743438592 -254394 -320834 -336840 -509116
832374584761652608 -254288 -320904 -336852 -509144
832374584779866624 -254231 -320897 -336801 -509096
832374584798080512 -254137 -320768 -336775 -509124
832374584816294528 -254077 -320675 -336728 -509100
832374584834508544 -254078 -320764 -336751 -509117
832374584852722432 -254064 -320695 -336767 -509122
832374584870936448 -254040 -320705 -336689 -509125
832374584889150464 -254056 -320721 -336670 -509070
832374584907364352 -254223 -320803 -336744 -509103
832374584925578368 -254272 -320817 -336801 -509089
832374584943792384 -254343 -320875 -336845 -509056
832374584962006272 -254295 -320826 -336794 -509050
832374584980220288 -254244 -320765 -336752 -509120
832374584998434304 -254085 -320754 -336714 -509004
832374585016648192 -254124 -320745 -336779 -509140
832374585034862208 -254048 -320651 -336694 -509104
832374585053076224 -253986 -320638 -336682 -509082
832374585071290112 -254008 -320660 -336718 -509086
832374585089504128 -254101 -320697 -336712 -509105
832374585107718144 -254208 -320736 -336750 -509081
832374585125932032 -254334 -320789 -336728 -509149
832374585144146060 -254311 -320839 -336751 -509074
832374585162359936 -254300 -320846 -336823 -509132
832374585180573824 -254211 -320800 -336759 -509114
832374585198787712 -254190 -320775 -336761 -509154
832374585217001600 -254118 -320737 -336814 -509106
832374585235215488 -254082 -320746 -336775 -509108
832374585253429376 -254059 -320702 -336718 -509060
832374585271643264 -254061 -320676 -336717 -509137
832374585289857152 -254134 -320752 -336724 -509145
832374585308071040 -254169 -320755 -336740 -509114
832374585326284928 -254340 -320902 -336802 -509114
832374585344498816 -254280 -320831 -336853 -509096
