TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832782863202554368 348365 315114 338507 -173071
832782863220736128 348378 315096 338533 -173046
832782863238918016 348355 315093 338513 -173069
832782863257099776 348362 315122 338510 -173058
832782863275281664 348436 315128 338560 -173070
832782863293463424 348377 315068 338487 -173119
832782863311645312 348424 315108 338499 -173134
832782863329827072 348367 315087 338512 -173080
832782863348008960 348413 315119 338526 -173095
832782863366190720 348373 315118 338502 -173108
832782863384372608 348386 315128 338504 -173043
832782863402554368 348443 315158 338483 -173056
832782863420736128 348376 315112 338482 -173133
832782863438918016 348382 315173 338539 -173062
832782863457099776 348383 315142 338625 -173013
832782863475281664 348324 315119 338528 -173100
832782863493463424 348342 315069 338492 -173054
832782863511645312 348360 315113 338532 -173023
832782863529827072 348352 315110 338547 -173056
832782863548008960 348335 315136 338611 -173030
832782863566190720 348323 315180 338509 -173093
832782863584372608 348280 315107 338506 -173088
832782863602554368 348368 315121 338524 -173053
832782863620736128 348321 315043 338489 -173136
832782863638918016 348337 315174 338498 -173120
832782863657099776 348342 315083 338466 -173096
832782863675281664 348416 315121 338499 -173093
832782863693463424 348389 315103 338487 -173077
832782863711645312 348345 315130 338514 -173087
832782863729827072 348360 315180 338535 -173039
832782863748008960 348399 315169 338558 -173058
832782863766190720 348326 315197 338521 -173059
832782863784372608 348315 315116 338428 -173107
832782863802554368 348365 315163 338510 -173088
832782863820736128 348356 315164 338480 -173098
832782863838918016 348373 315166 338457 -173096
832782863857099776 348324 315096 338426 -173102
832782863875281664 348324 315144 338522 -173098
832782863893463424 348345 315139 338530 -173055
832782863911645312 348318 315136 338504 -173082
832782863929827072 348382 315189 338589 -173070
832782863948008960 348336 315181 338555 -173060
832782863966190720 348336 315091 338538 -173109
832782863984372608 348358 315133 338539 -173136
832782864002554368 348358 315119 338565 -173112
832782864020736134 348334 315087 338509 -173106
832782864038948736 348355 315161 338526 -173044
832782864057161344 348406 315130 338578 -173104
832782864075373952 348401 315191 338512 -173042
832782864093586560 348360 315116 338472 -173071
832782864111799168 348316 315138 338472 -173163
832782864130011776 348353 315145 338465 -173098
832782864148224384 348433 315132 338496 -173087
832782864166436992 348402 315154 338526 -173085
832782864184649600 348316 315128 338482 -173089
832782864202862208 348359 315156 338486 -173079
832782864221074816 348356 315144 338447 -173113
832782864239287552 348358 315179 338468 -173047
832782864257500160 348384 315127 338469 -173026
832782864275712768 348335 315117 338477 -173069
832782864293925376 348335 315135 338468 -173069
832782864312137984 348392 315161 338474 -173026
832782864330350592 348407 315183 338512 -173053
832782864348563200 348376 315170 338496 -173078
832782864366775808 348356 315091 338442 -173127
832782864384988416 348319 315110 338481 -173110
832782864403201024 348332 315189 338509 -173059
832782864421413632 348343 315152 338504 -173073
832782864439626240 348373 315115 338494 -173044
832782864457838848 348350 315080 338454 -173141
832782864476051456 348370 315123 338474 -173114
832782864494264064 348383 315181 338542 -173047
832782864512476672 348355 315175 338515 -173120
832782864530689280 348396 315121 338512 -173097
832782864548901888 348423 315179 338559 -173058
832782864567114496 348413 315162 338565 -173082
832782864585327104 348353 315139 338493 -173050
832782864603539712 348345 315153 338534 -173086
832782864621752448 348374 315147 338504 -173042
832782864639965056 348418 315130 338521 -173108
832782864658177664 348395 315168 338551 -173043
832782864676390272 348344 315129 338529 -173076
832782864694602880 348400 315116 338531 -173052
832782864712815488 348388 315113 338525 -173017
832782864731028096 348384 315162 338577 -173117
832782864749240704 348395 315073 338496 -173103
832782864767453312 348412 315119 338522 -173039
832782864785665920 348399 315117 338568 -173058
832782864803878528 348404 315154 338521 -173035
832782864822091136 348341 315084 338478 -173088
832782864840303744 348385 315129 338521 -173073
832782864858516352 348325 315175 338529 -173070
832782864876728960 348368 315165 338492 -173090
832782864894941568 348321 315162 338473 -173095
832782864913154176 348368 315198 338493 -173051
832782864931366784 348399 315230 338534 -173047
832782864949579392 348434 315186 338557 -173064
832782864967792066 348442 315189 338568 -173053
832782864986005248 348365 315159 338503 -173068
832782865004218368 348395 315104 338537 -173068
832782865022431360 348337 315106 338503 -173099
832782865040644480 348354 315111 338511 -173130
832782865058857472 348358 315180 338505 -173085
832782865077070592 348383 315138 338471 -173106
832782865095283712 348380 315164 338513 -173074
832782865113496704 348390 315155 338509 -173110
832782865131709824 348313 315086 338508 -173116
832782865149922816 348352 315110 338488 -173188
832782865168135936 348307 315112 338479 -173105
832782865186349056 348399 315186 338532 -173050
832782865204562048 348445 315138 338535 -173062
832782865222775168 348418 315118 338531 -173062
832782865240988160 349779 316513 338493 -173071
832782865259201280 350256 317033 338490 -173063
832782865277414400 350404 317229 338485 -173065
832782865295627392 350613 317374 338564 -173073
832782865313840512 350748 317609 338493 -173093
832782865332053504 350959 317799 338483 -173110
832782865350266624 351032 317929 338522 -173126
832782865368479616 351140 317984 338529 -173074
832782865386692736 351248 318080 338545 -173090
832782865404905856 351385 318137 338551 -173051
832782865423118848 351509 318268 338563 -173074
832782865441331968 351615 318465 338520 -173119
832782865459544960 351802 318614 338522 -173113
832782865477758080 351933 318733 338589 -173024
832782865495971200 351727 318477 338565 -173031
832782865514184192 351421 318152 338517 -173074
832782865532397312 351104 317932 338602 -173069
832782865550610304 350937 317708 338541 -173063
832782865568823424 350759 317537 338546 -173117
832782865587036544 350826 317639 338592 -173055
832782865605249536 350997 317735 338514 -173018
832782865623462656 351146 317872 338500 -173091
832782865641675648 351227 317990 338498 -173078
832782865659888768 351292 318066 338510 -173070
832782865678101888 351368 318107 338569 -173057
832782865696314880 351399 318167 338514 -173058
832782865714527854 351545 318352 338490 -173100
832782865732739584 351741 318580 338544 -173098
832782865750951296 351929 318763 338578 -173074
832782865769163008 351850 318638 338559 -173033
832782865787374592 351647 318427 338529 -173071
832782865805586304 351320 318165 338535 -173092
832782865823798016 350986 317813 338543 -173092
832782865842009728 350767 317496 338556 -173063
832782865860221440 350743 317481 338524 -173054
832782865878433152 350871 317638 338513 -173064
832782865896644736 350981 317784 338541 -173095
832782865914856448 351140 317947 338522 -173077
832782865933068160 351261 318056 338514 -173044
832782865951279872 351322 318124 338529 -173067
832782865969491584 351358 318144 338440 -173047
832782865987703296 351499 318274 338500 -173007
832782866005914880 351632 318397 338547 -173109
832782866024126592 351836 318645 338552 -173057
832782866042338304 351905 318736 338561 -173067
832782866060550016 351824 318671 338550 -173075
832782866078761728 351602 318369 338554 -173056
832782866096973312 351261 318054 338523 -173035
832782866115185024 350879 317699 338470 -173089
832782866133396736 350702 317526 338445 -173110
832782866151608448 350747 317572 338511 -173059
832782866169820160 350877 317667 338507 -173115
832782866188031872 351066 317845 338502 -173081
832782866206243456 351176 318005 338544 -173087
832782866224455168 351266 318049 338505 -173074
832782866242666880 351324 318116 338493 -173056
832782866260878592 351381 318150 338527 -173060
832782866279090304 351572 318301 338552 -173092
832782866297302016 351758 318517 338505 -173062
832782866315513600 351943 318686 338541 -173078
832782866333725312 351917 318753 338558 -173110
832782866351937024 351783 318618 338574 -173098
832782866370148736 351501 318253 338585 -173061
832782866388360448 351141 317872 338554 -173103
832782866406572032 350854 317606 338505 -173100
832782866424783744 350757 317484 338490 -173127
832782866442995456 350808 317604 338493 -173081
832782866461207168 350977 317707 338500 -173074
832782866479418806 351151 317889 338494 -173063
832782866497631872 351415 318184 338549 -173057
832782866515844992 351407 318151 338506 -173038
832782866534058112 351409 318249 338567 -173022
832782866552271360 351464 318345 338590 -173029
832782866570484480 351595 318431 338578 -173027
832782866588697600 351858 318729 338614 -173010
832782866606910720 352030 318799 338584 -173025
832782866625123840 351962 318801 338618 -173051
832782866643336960 351720 318512 338595 -172996
832782866661550208 351390 318147 338549 -173023
832782866679763328 351018 317834 338568 -173053
832782866697976448 350832 317593 338491 -173036
832782866716189568 350790 317569 338517 -173060
832782866734402688 350883 317642 338537 -173103
832782866752615808 351065 317806 338506 -173012
832782866770829056 351186 318006 338527 -173068
832782866789042176 351345 318053 338531 -173035
832782866807255296 351323 318090 338557 -173030
832782866825468416 351380 318192 338497 -173057
832782866843681536 351512 318312 338547 -173051
832782866861894656 351659 318434 338551 -173077
832782866880107904 351832 318598 338551 -173109
