TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832783704597595008 370614 308101 331723 -173059
832783704615776768 370594 308140 331696 -173021
832783704633958656 370582 308157 331647 -173067
832783704652140416 370622 308170 331658 -173047
832783704670322304 370663 308174 331620 -173063
832783704688504064 370590 308139 331588 -173035
832783704706685952 370555 308133 331611 -173089
832783704724867712 370627 308213 331653 -173053
832783704743049600 370677 308240 331677 -173103
832783704761231360 370650 308209 331695 -173042
832783704779413248 370644 308208 331709 -172972
832783704797595008 370587 308169 331634 -173031
832783704815776768 370612 308107 331673 -173059
832783704833958656 370587 308131 331672 -173070
832783704852140416 370650 308119 331651 -173100
832783704870322304 370614 308134 331611 -173113
832783704888504064 370659 308144 331641 -173055
832783704906685952 370646 308161 331620 -173026
832783704924867712 370619 308203 331658 -173030
832783704943049600 370584 308171 331669 -173081
832783704961231360 370637 308140 331738 -173018
832783704979413248 370657 308170 331729 -173051
832783704997595008 370597 308177 331613 -173050
832783705015776768 370642 308167 331636 -173002
832783705033958656 370591 308117 331630 -173098
832783705052140416 370615 308168 331663 -173088
832783705070322304 370599 308157 331706 -173075
832783705088504064 370635 308226 331704 -173059
832783705106685952 370661 308161 331670 -173082
832783705124867712 370584 308109 331660 -173100
832783705143049600 370572 308128 331572 -173041
832783705161231360 370588 308075 331606 -173028
832783705179413248 370570 308194 331667 -173078
832783705197595008 370652 308150 331620 -173094
832783705215776768 370595 308168 331656 -173045
832783705233958656 370618 308149 331675 -173047
832783705252140416 370602 308179 331663 -173041
832783705270322304 370599 308151 331699 -173040
832783705288504064 370625 308180 331652 -173033
832783705306685952 370646 308138 331660 -173056
832783705324867712 370628 308204 331668 -173057
832783705343049600 370581 308145 331633 -173104
832783705361231360 370592 308098 331649 -173069
832783705379413248 370603 308110 331653 -173023
832783705397595008 370639 308163 331660 -173045
832783705415776768 370625 308158 331660 -173033
832783705433958656 370633 308200 331733 -173040
832783705452140416 370595 308144 331695 -173024
832783705470322304 370547 308148 331639 -173067
832783705488504064 370605 308178 331724 -173013
832783705506685952 370611 308133 331661 -173030
832783705524867702 370625 308112 331662 -173003
832783705543079936 370607 308103 331643 -173108
832783705561292160 370628 308135 331652 -173040
832783705579504384 370593 308103 331662 -173099
832783705597716736 370599 308123 331682 -173069
832783705615928960 370557 308120 331703 -173072
832783705634141184 370539 308124 331696 -173108
832783705652353408 370601 308102 331667 -173056
832783705670565760 370569 308136 331617 -173096
832783705688777984 370589 308111 331630 -173062
832783705706990208 370644 308190 331652 -173045
832783705725202432 370611 308132 331638 -172986
832783705743414656 370616 308158 331641 -173011
832783705761627008 370634 308173 331674 -173042
832783705779839232 370667 308153 331707 -173072
832783705798051456 370624 308154 331695 -173078
832783705816263680 370659 308131 331673 -173069
832783705834476032 370638 308131 331650 -173055
832783705852688256 370665 308138 331689 -173074
832783705870900480 370602 308139 331672 -173052
832783705889112704 370654 308188 331655 -173019
832783705907324928 370667 308145 331639 -173046
832783705925537280 370668 308133 331640 -173095
832783705943749504 370602 308121 331656 -173119
832783705961961728 370621 308163 331710 -173108
832783705980173952 370600 308122 331651 -173095
832783705998386304 370633 308119 331740 -173082
832783706016598528 370675 308155 331717 -173043
832783706034810752 370670 308155 331708 -173034
832783706053022976 370651 308146 331670 -173051
832783706071235200 370645 308155 331650 -173078
832783706089447552 370652 308189 331681 -173047
832783706107659776 370627 308142 331696 -173054
832783706125872000 370638 308136 331652 -173040
832783706144084224 370627 308141 331723 -173073
832783706162296576 370603 308114 331632 -173053
832783706180508800 370589 308092 331672 -173047
832783706198721024 370604 308089 331692 -173105
832783706216933248 370603 308182 331671 -173052
832783706235145472 370631 308129 331688 -173039
832783706253357824 370639 308170 331679 -173059
832783706271570048 370585 308174 331665 -173088
832783706289782272 370547 308111 331688 -173105
832783706307994496 370588 308159 331685 -173089
832783706326206848 370572 308125 331644 -173109
832783706344419072 370574 308138 331599 -173082
832783706362631296 370609 308149 331616 -173097
832783706380843520 370592 308065 331598 -173103
832783706399055818 370536 308068 331621 -173079
832783706417268608 370527 308118 331644 -173078
832783706435481344 370598 308132 331645 -173014
832783706453694080 370593 308195 331637 -173040
832783706471906688 370633 308173 331674 -173065
832783706490119424 370578 308201 331624 -173093
832783706508332160 377373 314920 331730 -173048
832783706526544896 380130 317631 331720 -173094
832783706544757504 380828 318274 331687 -173089
832783706562970240 380544 318107 331704 -173074
832783706581182976 379889 317461 331719 -173036
832783706599395712 379297 316871 331688 -173064
832783706617608320 378967 316587 331722 -173128
832783706635821056 379148 316685 331666 -173110
832783706654033792 379523 317128 331707 -173070
832783706672246528 380016 317575 331710 -173042
832783706690459264 380267 317855 331677 -173064
832783706708671872 380454 317991 331634 -173048
832783706726884608 380473 318060 331628 -173054
832783706745097344 380739 318283 331681 -173065
832783706763310080 381161 318717 331742 -173046
832783706781522688 381648 319162 331697 -173127
832783706799735424 382155 319684 331706 -173065
832783706817948160 382043 319564 331675 -173100
832783706836160896 381467 319089 331754 -173063
832783706854373504 380648 318220 331718 -173071
832783706872586240 379785 317287 331669 -172989
832783706890798976 379160 316719 331739 -173071
832783706909011594 379024 316572 331709 -173070
832783706927223040 379226 316820 331698 -173033
832783706945434496 379701 317208 331662 -173087
832783706963645952 380088 317660 331643 -173055
832783706981857408 380397 317905 331655 -173036
832783707000068864 380430 318000 331696 -173052
832783707018280320 380704 318227 331692 -173046
832783707036491776 380928 318422 331673 -173035
832783707054703232 381363 318856 331732 -173033
