TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832349672106350976 519130 412434 378087 180795
832349672124532736 519200 412380 378122 180801
832349672142714624 519224 412443 378102 180824
832349672160896384 519184 412398 378093 180791
832349672179078272 519201 412490 378133 180825
832349672197260032 519238 412456 378083 180862
832349672215441920 519153 412360 378098 180841
832349672233623680 519204 412374 378105 180821
832349672251805568 519203 412393 378158 180821
832349672269987328 519134 412370 378139 180731
832349672288169216 519185 412354 378107 180777
832349672306350976 519201 412418 378134 180846
832349672324532736 519196 412457 378160 180848
832349672342714624 519207 412437 378174 180816
832349672360896384 519188 412409 378142 180849
832349672379078272 519153 412436 378143 180814
832349672397260032 519225 412413 378176 180843
832349672415441920 519171 412374 378092 180796
832349672433623680 519180 412407 378123 180851
832349672451805568 519129 412362 378141 180819
832349672469987328 519194 412427 378166 180800
832349672488169216 519178 412420 378147 180841
832349672506350976 519188 412417 378142 180819
832349672524532736 519207 412429 378166 180853
832349672542714624 519174 412422 378141 180822
832349672560896384 519168 412447 378209 180863
832349672579078272 519238 412453 378153 180850
832349672597260032 519216 412448 378214 180840
832349672615441920 519157 412393 378158 180796
832349672633623680 519122 412359 378132 180760
832349672651805568 519191 412525 378110 180849
832349672669987328 519161 412445 378122 180884
832349672688169216 519150 412448 378140 180876
832349672706350976 519223 412449 378197 180894
832349672724532736 519212 412386 378140 180829
832349672742714624 519206 412443 378176 180819
832349672760896384 519147 412472 378140 180823
832349672779078272 519186 412381 378151 180819
832349672797260032 519165 412370 378112 180791
832349672815441920 519220 412412 378166 180850
832349672833623680 519215 412410 378197 180801
832349672851805568 519290 412424 378147 180858
832349672869987328 519278 412386 378113 180875
832349672888169216 519177 412353 378109 180800
832349672906350976 519161 412397 378118 180811
832349672924532736 519194 412446 378130 180856
832349672942714624 519200 412465 378125 180854
832349672960896414 519216 412463 378178 180802
832349672979111680 519228 412419 378114 180723
832349672997326976 519150 412442 378127 180783
832349673015542144 519203 412390 378100 180816
832349673033757440 519185 412442 378190 180830
832349673051972736 519209 412404 378201 180797
832349673070187904 519139 412387 378134 180753
832349673088403200 519148 412412 378177 180824
832349673106618496 519161 412453 378142 180833
832349673124833664 519223 412454 378169 180852
832349673143048960 519214 412456 378225 180816
832349673161264256 519136 412349 378131 180815
832349673179479424 519207 412388 378162 180845
832349673197694720 519154 412392 378158 180843
832349673215910016 519154 412391 378087 180818
832349673234125312 519163 412423 378125 180894
832349673252340480 519224 412434 378158 180883
832349673270555776 519190 412487 378213 180837
832349673288771072 519148 412424 378113 180781
832349673306986240 519150 412412 378119 180808
832349673325201536 519203 412411 378113 180857
832349673343416832 519169 412376 378183 180849
