Timestamp,Peak_Voltage_V
18:12:45.265464,5.0
18:12:47.276822,0.0
18:12:48.290547,0.1
18:12:49.298266,0.2
18:12:50.302477,0.3
18:12:51.308443,0.4
18:12:52.314958,0.5
18:12:53.319416,0.6
18:12:54.324390,0.7
18:12:55.333168,0.8
18:12:56.338495,0.9
18:12:57.346324,1.0
18:12:58.351489,1.1
18:12:59.354494,1.2
18:13:00.362523,1.3
18:13:01.367293,1.4
18:13:02.369404,1.5
18:13:03.376154,1.6
18:13:04.380618,1.7
18:13:05.387978,1.8
18:13:06.393382,1.9
18:13:07.398117,2.0
18:13:08.408763,2.1
18:13:09.417172,2.2
18:13:10.422804,2.3
18:13:11.427230,2.4
18:13:12.431258,2.5
18:13:13.437453,2.6
18:13:14.442437,2.7
18:13:15.445842,2.8
18:13:16.454492,2.9
18:13:17.461133,3.0
18:13:18.467282,3.1
18:13:19.470460,3.2
18:13:20.474053,3.3
18:13:21.476291,3.4
18:13:22.482532,3.5
18:13:23.488257,3.6
18:13:24.492854,3.7
18:13:25.498432,3.8
18:13:26.503065,3.9
18:13:27.508501,4.0
18:13:28.514559,4.1
18:13:29.517460,4.2
18:13:30.521587,4.3
18:13:31.527201,4.4
18:13:32.532305,4.5
18:13:33.537751,4.6
18:13:34.540841,4.7
18:13:35.543089,4.8
18:13:36.550523,4.9
18:13:37.557428,5.0
18:13:38.562077,0.0
