TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832536796303815424 200763 195782 115070 -342407
832536796321997184 200769 195792 115031 -342460
832536796340179072 200865 195811 115096 -342441
832536796358360832 200781 195790 115061 -342423
832536796376542720 200718 195691 115032 -342482
832536796394724480 212155 201993 144812 -342383
832536796412906368 217129 204787 158017 -342340
832536796431088128 219336 206030 163773 -342314
832536796449270016 220211 206441 166207 -342316
832536796467451776 220623 206637 167287 -342291
832536796485633664 220845 206769 167800 -342279
832536796503815424 220888 206804 167997 -342304
832536796521997184 220951 206866 168114 -342307
832536796540179072 221037 206803 168142 -342283
832536796558360832 220973 206829 168147 -342315
832536796576542720 220995 206872 168153 -342329
832536796594724480 220967 206879 168197 -342286
832536796612906368 220982 206869 168158 -342314
832536796631088128 220969 206825 168162 -342332
832536796649270016 220985 206893 168170 -342289
832536796667451776 221001 206879 168148 -342303
832536796685633664 220964 206857 168169 -342287
832536796703815424 220990 206844 168138 -342274
832536796721997184 221031 206914 168142 -342289
832536796740179072 221023 206877 168171 -342253
832536796758360832 220988 206800 168220 -342339
832536796776542720 220960 206835 168136 -342274
832536796794724480 220921 206777 168106 -342270
832536796812906368 220961 206788 168140 -342290
832536796831088128 220942 206786 168120 -342302
832536796849270016 220968 206842 168186 -342321
832536796867451782 220996 206823 168165 -342347
832536796885663744 220951 206818 168143 -342321
832536796903875712 220984 206783 168168 -342318
832536796922087680 221044 206843 168148 -342327
832536796940299776 220943 206749 168133 -342330
832536796958511744 221035 206832 168143 -342341
832536796976723712 221021 206814 168180 -342297
832536796994935680 221008 206848 168171 -342293
832536797013147776 221039 206840 168212 -342279
832536797031359744 220944 206814 168156 -342332
832536797049571712 220960 206855 168179 -342345
832536797067783680 220993 206790 168161 -342359
832536797085995776 221018 206774 168128 -342333
832536797104207744 221012 206867 168154 -342329
832536797122419712 221033 206831 168141 -342334
832536797140631680 221004 206828 168188 -342328
832536797158843776 220991 206835 168205 -342362
832536797177055744 221035 206878 168194 -342313
832536797195267712 221022 206870 168198 -342322
832536797213479680 220944 206872 168194 -342295
832536797231691648 220971 206821 168110 -342348
832536797249903744 220993 206854 168180 -342375
832536797268115712 220943 206878 168165 -342336
832536797286327680 220931 206860 168153 -342314
832536797304539648 220998 206889 168126 -342364
832536797322751744 220931 206870 168129 -342340
832536797340963712 220974 206846 168151 -342290
832536797359175680 220987 206877 168136 -342346
832536797377387648 221037 206852 168133 -342345
832536797395599744 221003 206834 168126 -342359
832536797413811712 220937 206820 168137 -342382
832536797432023680 220934 206868 168121 -342380
832536797450235648 220996 206883 168162 -342319
832536797468447744 221007 206871 168121 -342362
832536797486659712 220925 206804 168135 -342390
832536797504871680 221005 206851 168137 -342374
832536797523083648 220988 206785 168094 -342323
832536797541295616 220971 206823 168131 -342314
832536797559507712 220944 206865 168133 -342359
832536797577719680 220978 206791 168110 -342380
832536797595931648 220962 206787 168084 -342385
832536797614143616 220969 206801 168096 -342357
832536797632355712 220939 206882 168204 -342340
832536797650567680 220904 206832 168072 -342352
832536797668779648 220998 206849 168130 -342318
832536797686991616 220969 206772 168118 -342310
832536797705203712 220947 206753 168158 -342305
832536797723415680 220991 206841 168178 -342301
832536797741627692 220989 206832 168174 -342299
832536797759840768 220934 206831 168142 -342393
832536797778053888 220960 206851 168147 -342338
832536797796267008 220898 206828 168072 -342357
832536797814480256 220986 206839 168174 -342349
832536797832693376 220953 206845 168155 -342296
832536797850906496 220946 206887 168168 -342336
832536797869119616 220920 206877 168165 -342336
832536797887332736 220965 206868 168144 -342349
832536797905545856 221000 206891 168187 -342293
832536797923759104 220946 206879 168165 -342348
832536797941972224 220916 206817 168171 -342386
832536797960185344 220982 206878 168172 -342316
832536797978398464 220980 206806 168116 -342318
832536797996611584 220983 206844 168176 -342298
832536798014824704 220903 206810 168102 -342374
832536798033037952 220961 206841 168225 -342280
832536798051251072 220916 206859 168148 -342358
832536798069464192 220935 206844 168106 -342404
832536798087677312 220954 206867 168086 -342359
832536798105890432 221016 206878 168159 -342298
832536798124103680 220956 206814 168093 -342325
832536798142316800 220953 206790 168134 -342297
832536798160529920 220938 206831 168162 -342320
832536798178743040 220956 206842 168205 -342332
832536798196956160 221001 206871 168194 -342307
832536798215169280 220979 206816 168123 -342336
832536798233382528 221029 206819 168175 -342323
832536798251595648 220988 206878 168182 -342301
832536798269808768 220926 206870 168113 -342308
832536798288021888 220937 206785 168134 -342373
832536798306235008 221018 206811 168158 -342327
832536798324448128 221012 206846 168170 -342340
832536798342661376 221044 206861 168124 -342302
832536798360874496 221012 206862 168137 -342311
832536798379087616 220994 206876 168139 -342359
832536798397300736 210731 201872 139340 -342373
832536798415513856 205110 198372 125612 -342392
832536798433726976 202662 196851 119669 -342465
832536798451940224 201653 196262 117126 -342392
832536798470153388 201181 195950 115939 -342444
832536798488366464 200958 195797 115419 -342486
832536798506579584 200849 195777 115218 -342437
832536798524792704 200864 195807 115207 -342433
832536798543005952 200861 195738 115109 -342414
832536798561219072 200819 195758 115076 -342419
832536798579432192 200819 195728 115093 -342408
832536798597645312 200782 195727 115012 -342405
832536798615858432 200808 195763 115009 -342421
832536798634071552 200760 195710 114981 -342439
832536798652284800 200813 195691 115049 -342427
832536798670497920 200731 195704 115015 -342481
832536798688711040 200817 195744 115082 -342400
832536798706924160 200764 195686 115065 -342458
832536798725137280 200731 195721 114988 -342476
832536798743350400 200786 195713 115077 -342475
832536798761563648 200765 195732 115071 -342454
832536798779776768 200787 195754 115047 -342465
832536798797989888 200765 195773 115031 -342436
832536798816203008 200718 195709 115048 -342432
832536798834416128 200782 195743 115077 -342444
832536798852629248 200777 195721 115072 -342410
832536798870842496 200781 195699 115057 -342407
832536798889055616 200774 195709 115060 -342452
832536798907268736 200775 195730 115118 -342405
832536798925481856 200768 195698 115083 -342444
832536798943694976 200761 195701 115020 -342482
832536798961908224 200726 195715 114999 -342499
832536798980121344 200789 195726 115031 -342454
832536798998334464 200774 195699 115052 -342434
832536799016547584 200777 195771 115078 -342462
832536799034760704 200830 195760 115133 -342468
832536799052973824 200831 195709 115064 -342493
832536799071187072 200801 195685 115028 -342460
832536799089400192 200768 195737 115079 -342483
832536799107613312 200766 195746 115058 -342436
832536799125826432 200796 195785 115091 -342435
832536799144039552 200795 195735 115071 -342399
832536799162252672 200817 195734 115078 -342431
832536799180465920 200806 195718 115058 -342418
832536799198679040 200817 195707 115089 -342414
832536799216892160 200847 195756 115114 -342442
832536799235105280 200867 195769 115038 -342460
832536799253318400 200857 195699 115090 -342449
832536799271531648 200777 195698 115121 -342464
832536799289744794 200761 195693 114992 -342448
832536799307956480 200810 195697 115063 -342425
832536799326168192 200831 195726 115154 -342342
832536799344379776 200796 195776 115079 -342431
832536799362591488 200764 195783 115135 -342442
832536799380803072 200769 195699 115033 -342482
832536799399014784 201245 196091 115401 -342457
832536799417226368 202106 196872 116273 -342451
832536799435438080 202399 197269 116674 -342434
832536799453649664 202538 197424 116783 -342401
832536799471861376 202572 197465 116864 -342383
832536799490072960 202617 197493 116899 -342425
832536799508284672 202619 197438 116827 -342417
832536799526496384 202694 197552 116891 -342430
832536799544707968 202647 197505 116871 -342432
832536799562919680 202646 197588 116952 -342388
832536799581131264 202612 197495 116929 -342485
832536799599342976 202629 197501 116947 -342422
832536799617554560 202658 197490 116915 -342453
832536799635766272 202645 197495 116910 -342419
832536799653977856 202563 197467 116852 -342444
832536799672189568 202644 197515 116918 -342436
832536799690401152 202646 197495 116921 -342420
832536799708612864 202602 197448 116913 -342434
832536799726824576 202624 197448 116811 -342413
832536799745036160 202571 197358 116815 -342457
832536799763247872 202635 197487 116926 -342444
832536799781459456 202626 197444 116939 -342423
832536799799671168 202608 197411 116882 -342464
832536799817882752 202555 197453 116920 -342448
832536799836094464 202562 197455 116882 -342419
832536799854306048 202589 197454 116947 -342456
832536799872517760 202623 197556 116899 -342461
832536799890729344 202645 197563 116951 -342410
832536799908941056 202635 197506 116871 -342413
832536799927152768 202615 197495 116907 -342414
832536799945364352 202614 197543 116904 -342415
832536799963576064 202663 197466 116920 -342428
832536799981787648 202625 197522 116921 -342400
832536799999999360 202659 197505 116938 -342415
832536800018210944 202651 197466 116924 -342459
832536800036422596 202666 197545 116931 -342411
832536800054635776 202632 197539 116940 -342389
832536800072848896 202647 197470 116925 -342424
832536800091062016 202627 197459 116923 -342469
832536800109275264 202601 197484 116941 -342430
832536800127488384 202624 197516 116909 -342439
832536800145701504 202679 197561 116909 -342401
832536800163914624 202642 197509 116930 -342439
832536800182127744 202669 197541 116899 -342442
832536800200340864 202597 197544 116916 -342434
832536800218554112 202639 197479 116896 -342502
832536800236767232 202691 197492 116901 -342434
832536800254980352 202659 197509 116898 -342409
832536800273193472 202660 197475 116950 -342410
832536800291406592 202615 197550 116938 -342460
832536800309619712 202567 197528 116967 -342398
832536800327832960 202644 197546 116965 -342373
832536800346046080 202639 197553 116950 -342443
832536800364259200 202668 197541 116946 -342393
832536800382472320 202691 197550 116938 -342385
832536800400685440 201630 196578 115919 -342371
832536800418898560 204439 199144 118777 -342401
832536800437111808 205595 200282 120053 -342409
832536800455324928 206066 200685 120482 -342492
832536800473538048 206344 200987 120761 -342449
832536800491751168 206479 201052 120831 -342437
832536800509964288 206508 201076 120893 -342396
832536800528177536 206507 201119 120912 -342385
832536800546390656 206531 201155 120914 -342401
832536800564603776 206536 201147 120983 -342409
832536800582816896 206583 201179 120945 -342421
832536800601030016 206568 201189 120950 -342399
832536800619243148 206547 201113 120831 -342427
832536800637455616 206563 201212 120962 -342402
832536800655668096 206535 201104 120934 -342409
832536800673880576 206567 201166 120975 -342409
832536800692093056 206603 201191 120958 -342404
832536800710305536 206520 201101 120906 -342465
832536800728518016 206502 201109 120957 -342408
832536800746730496 206538 201122 120933 -342397
832536800764942976 206527 201141 120942 -342391
832536800783155456 206548 201139 120927 -342383
832536800801367936 206553 201154 120918 -342431
832536800819580416 206578 201158 120942 -342382
832536800837792896 206671 201115 120956 -342408
832536800856005376 206638 201143 120936 -342426
832536800874217856 206549 201110 120900 -342413
832536800892430336 206579 201132 120885 -342366
832536800910642816 206588 201132 120931 -342414
832536800928855296 206596 201154 120898 -342390
832536800947067776 206546 201208 120947 -342375
832536800965280256 206587 201137 120941 -342402
832536800983492736 206598 201141 120952 -342401
832536801001705216 206635 201168 120960 -342403
832536801019917696 206589 201134 120901 -342380
832536801038130176 206524 201160 120889 -342444
832536801056342656 206552 201172 120942 -342417
832536801074555136 206515 201156 120891 -342367
832536801092767616 206564 201164 120942 -342411
832536801110980096 206627 201175 120945 -342424
