TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832360092792119296 403588 342977 333187 180864
832360092810301056 403641 343068 333234 180886
832360092828482944 403661 343061 333204 180898
832360092846664704 403994 343278 333325 180850
832360092864846592 404180 343332 333358 180854
832360092883028352 404400 343413 333444 180881
832360092901210240 404624 343573 333446 180896
832360092919392000 404715 343645 333527 180936
832360092937573888 404965 343752 333578 180965
832360092955755648 405177 343805 333601 180940
832360092973937536 405286 343867 333684 180909
832360092992119296 405459 344012 333672 180903
832360093010301056 405517 343993 333718 180856
832360093028482944 405484 343968 333657 180890
832360093046664704 405667 344111 333753 180938
832360093064846592 405626 344093 333727 180871
832360093083028352 405593 344070 333747 180907
832360093101210240 405689 344096 333798 180922
832360093119392000 405609 344010 333703 180926
832360093137573888 405756 344129 333771 180922
832360093155755648 405815 344135 333748 180919
832360093173937536 405768 344179 333779 180928
832360093192119296 406015 344301 333783 180876
832360093210301056 406226 344400 333854 180873
832360093228482944 406351 344409 333885 180905
832360093246664704 406639 344556 333957 180888
832360093264846592 406742 344657 334005 180839
832360093283028352 406972 344765 334073 180902
832360093301210240 407222 344911 334160 180914
832360093319392000 407355 344933 334162 180873
832360093337573888 407379 344937 334222 180911
832360093355755648 407335 344978 334195 180908
832360093373937536 407081 344806 334132 180906
832360093392119296 406949 344764 334103 180873
832360093410301056 406609 344550 333968 180858
832360093428482944 406112 344343 333893 180904
832360093446664704 405888 344240 333861 180890
832360093464846592 405524 343991 333731 180931
832360093483028352 405035 343762 333626 180908
832360093501210240 404864 343682 333540 180948
832360093519392000 404472 343464 333410 180925
832360093537573828 404130 343288 333328 180932
832360093555789312 403927 343188 333290 180939
832360093574004736 403631 343011 333130 180887
832360093592220160 403601 342998 333148 180859
832360093610435712 403618 343036 333182 180944
832360093628651136 403443 342952 333173 180874
832360093646866560 403652 343033 333165 180886
832360093665081984 403805 343082 333234 180925
832360093683297408 403939 343224 333308 180974
832360093701512960 404296 343442 333386 180909
832360093719728384 404495 343428 333392 180920
832360093737943808 404671 343567 333469 180960
832360093756159232 404916 343683 333525 180969
832360093774374656 404964 343722 333586 180904
832360093792590208 405155 343809 333572 180908
832360093810805632 405337 343984 333657 180928
832360093829021056 405354 343904 333653 180872
832360093847236480 405496 343987 333716 180876
832360093865451904 405545 344028 333739 180916
832360093883667456 405445 343962 333665 180899
832360093901882880 405647 344112 333779 180919
832360093920098304 405596 344090 333717 180863
832360093938313728 405552 343983 333718 180867
832360093956529152 405710 344084 333781 180888
832360093974744704 405730 344162 333812 180959
832360093992960128 405786 344172 333777 180917
832360094011175552 405968 344296 333811 180938
832360094029390976 406005 344253 333783 180923
832360094047606400 406218 344400 333868 180957
832360094065821952 406497 344521 333952 180925
832360094084037376 406449 344529 333941 180932
832360094102252800 406832 344708 334028 180917
832360094120468224 407047 344822 334055 180899
832360094138683648 407194 344945 334115 180938
832360094156899200 407486 344967 334280 180933
832360094175114624 407448 344963 334241 180937
832360094193330048 407232 344877 334189 180923
832360094211545472 407151 344844 334132 180903
832360094229760896 406766 344664 334051 180911
832360094247976448 406465 344481 333960 180903
832360094266191872 406112 344285 333876 180855
832360094284407272 405558 344071 333729 180924
832360094302623488 405253 343947 333652 180904
832360094320839680 404986 343729 333583 180950
832360094339056000 404432 343503 333427 180902
832360094357272192 404251 343448 333329 180859
832360094375488384 404027 343240 333284 180900
832360094393704704 403770 343129 333223 180904
832360094411920896 403721 343117 333176 180864
832360094430137088 403570 343056 333151 180889
832360094448353408 403473 342988 333121 180883
832360094466569600 403619 343060 333191 180923
832360094484785792 403570 343018 333192 180879
832360094503002112 403806 343122 333247 180901
832360094521218304 404030 343269 333264 180919
832360094539434496 404201 343379 333365 180884
832360094557650816 404569 343515 333428 180926
832360094575867008 404710 343564 333465 180868
832360094594083200 404830 343659 333499 180901
832360094612299520 405094 343733 333559 180829
832360094630515712 405244 343882 333677 180889
832360094648731904 405312 343935 333689 180890
832360094666948224 405408 343960 333728 180886
832360094685164416 405457 343932 333669 180899
832360094703380608 405622 344075 333756 180940
832360094721596928 405629 344103 333733 180891
832360094739813120 405515 344008 333651 180952
832360094758029312 405647 344101 333777 180943
832360094776245632 405630 344062 333761 180926
832360094794461824 405587 343993 333700 180888
832360094812678016 405918 344134 333778 180883
832360094830894336 405840 344164 333771 180874
832360094849110528 405875 344163 333769 180877
832360094867326720 406122 344285 333871 180910
832360094885543040 406212 344352 333884 180935
832360094903759232 406459 344440 333957 180925
832360094921975424 406671 344617 334011 180857
832360094940191744 406770 344631 334028 180903
832360094958407936 407139 344844 334111 180922
832360094976624178 407286 344906 334137 180802
832360094994840960 407218 344914 334143 180868
832360095013057792 407385 344943 334173 180854
832360095031274752 407199 344904 334181 180920
832360095049491584 406972 344803 334130 180924
832360095067708544 406847 344703 334047 180975
832360095085925376 406364 344426 333874 180930
832360095104142208 405966 344293 333808 180925
832360095122359168 405590 344113 333753 180911
832360095140576000 405205 343868 333628 180953
832360095158792960 404937 343707 333572 180915
832360095177009792 404582 343489 333433 180876
832360095195226752 404119 343227 333295 180875
832360095213443584 403957 343271 333324 180845
832360095231660416 403745 343065 333203 180890
832360095249877376 403507 342985 333140 180888
832360095268094208 403610 343018 333173 180833
832360095286311168 403590 343049 333164 180922
832360095304528000 403573 343029 333160 180845
832360095322744832 403707 343092 333234 180859
832360095340961792 403844 343207 333240 180906
832360095359178624 404115 343294 333305 180935
832360095377395584 404372 343462 333418 180926
832360095395612416 404477 343497 333423 180898
832360095413829248 404703 343628 333452 180901
832360095432046208 404951 343729 333527 180894
832360095450263040 405022 343775 333525 180877
832360095468480000 405346 343950 333567 180870
832360095486696832 405425 343955 333655 180914
832360095504913664 405464 344000 333654 180938
832360095523130624 405599 344070 333708 180905
832360095541347456 405575 344029 333682 180910
832360095559564416 405493 343995 333685 180880
832360095577781248 405564 344060 333683 180826
832360095595998208 405539 344024 333677 180873
832360095614215040 405680 344058 333708 180864
832360095632431872 405656 344088 333735 180873
832360095650648832 405641 344038 333704 180917
832360095668865664 405849 344187 333810 180910
832360095687082624 405909 344254 333796 180845
832360095705299456 406053 344317 333875 180851
832360095723516288 406366 344438 333913 180867
832360095741733326 406466 344462 333956 180856
832360095759948160 406624 344551 333978 180897
832360095778162944 406902 344749 334071 180906
832360095796377600 407034 344750 334086 180918
832360095814592384 407306 344974 334186 180875
832360095832807168 407444 345049 334217 180905
832360095851021824 407272 344902 334175 180916
832360095869236608 407233 344928 334159 180872
832360095887451392 406929 344734 334079 180917
832360095905666048 406480 344551 333952 180799
832360095923880832 406357 344486 333907 180849
832360095942095616 405886 344222 333798 180868
832360095960310272 405432 343971 333610 180872
832360095978525056 405126 343814 333542 180910
832360095996739840 404766 343631 333486 180896
832360096014954496 404439 343442 333371 180859
832360096033169280 404149 343306 333283 180860
832360096051384064 403807 343098 333170 180833
832360096069598720 403684 343126 333200 180858
832360096087813504 403594 343034 333153 180875
832360096106028288 403420 342926 333160 180823
832360096124242944 403606 342995 333173 180801
832360096142457728 403679 343059 333203 180855
832360096160672512 403775 343139 333191 180892
832360096178887168 404026 343286 333230 180872
832360096197101952 404135 343284 333259 180897
832360096215316736 404291 343434 333374 180883
832360096233531392 404635 343560 333390 180908
832360096251746176 404656 343549 333462 180868
832360096269960960 404917 343742 333517 180924
832360096288175616 405139 343754 333581 180898
832360096306390400 405151 343841 333606 180853
832360096324605184 405323 343901 333591 180820
832360096342819840 405450 344018 333643 180857
832360096361034624 405377 343966 333591 180830
832360096379249408 405613 344101 333686 180858
832360096397464064 405556 344079 333695 180911
832360096415678848 405536 344051 333669 180870
832360096433893632 405612 344102 333677 180860
832360096452108288 405542 344049 333663 180845
832360096470323072 405697 344084 333714 180873
832360096488537856 405788 344128 333732 180856
832360096506752446 405791 344129 333730 180894
832360096524969344 406036 344290 333863 180924
832360096543186304 406193 344278 333898 180879
832360096561403136 406287 344367 333949 180874
832360096579620096 406619 344520 334029 180890
832360096597837056 406738 344657 334012 180900
832360096616053888 406913 344709 334002 180880
832360096634270848 407177 344862 334106 180852
832360096652487808 407226 344848 334142 180875
832360096670704768 407339 344953 334164 180856
832360096688921600 407302 344916 334110 180837
832360096707138560 407040 344791 334122 180864
832360096725355520 406870 344718 334072 180915
832360096743572352 406561 344553 334012 180904
832360096761789312 406089 344341 333917 180874
832360096780006272 405869 344204 333832 180915
832360096798223104 405365 343912 333636 180852
832360096816440064 404998 343776 333494 180839
832360096834657024 404779 343602 333456 180901
832360096852873856 404301 343334 333360 180890
832360096871090816 404041 343280 333295 180865
832360096889307776 403826 343148 333228 180900
832360096907524736 403641 343037 333198 180870
832360096925741568 403597 343031 333236 180902
832360096943958528 403526 343019 333147 180913
832360096962175488 403431 342951 333154 180898
832360096980392320 403636 343052 333197 180892
832360096998609280 403772 343080 333258 180887
832360097016826240 403966 343191 333266 180886
832360097035043072 404262 343399 333356 180931
832360097053260032 404423 343425 333412 180916
832360097071476992 404603 343528 333444 180842
832360097089693952 404832 343655 333474 180888
832360097107910784 405031 343784 333535 180857
832360097126127744 405221 343869 333641 180905
832360097144344704 405376 343951 333674 180877
832360097162561536 405362 343907 333619 180851
832360097180778496 405569 344006 333719 180914
832360097198995456 405614 344055 333654 180842
832360097217212288 405446 344019 333706 180904
832360097235429248 405638 344094 333746 180903
832360097253646208 405636 344050 333689 180891
832360097271863120 405628 344102 333698 180911
832360097290080128 405725 344102 333702 180906
832360097308297088 405742 344152 333764 180919
832360097326514176 405793 344122 333764 180897
832360097344731136 405889 344179 333716 180846
832360097362948224 406022 344309 333804 180911
832360097381165184 406211 344382 333865 180889
832360097399382272 406375 344510 333950 180905
832360097417599232 406454 344510 333945 180910
832360097435816320 406690 344673 334043 180866
832360097454033280 406960 344702 334062 180826
832360097472250368 407086 344794 334132 180881
832360097490467328 407438 344947 334187 180847
832360097508684416 407421 344954 334216 180845
832360097526901376 407227 344858 334208 180842
832360097545118336 407102 344847 334184 180868
832360097563335424 406744 344611 334049 180906
832360097581552384 406465 344517 333931 180900
