TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
832682142491047936 152177 161935 179506 -342295
832682142509229696 152180 162035 179461 -342279
832682142527411584 152238 162054 179398 -342315
832682142545593344 152256 162071 179425 -342334
832682142563775232 152275 162103 179439 -342286
832682142581956992 152342 162070 179408 -342334
832682142600138880 152370 162150 179380 -342335
832682142618320640 152502 162270 179459 -342290
832682142636502528 152591 162412 179476 -342322
832682142654684288 152869 162680 179484 -342281
832682142672866176 153051 162839 179395 -342364
832682142691047936 153349 163084 179427 -342362
832682142709229696 153587 163387 179453 -342333
832682142727411584 153873 163678 179472 -342300
832682142745593344 154080 163864 179407 -342267
832682142763775232 154153 163966 179399 -342303
832682142781956992 154168 163913 179467 -342346
832682142800138880 153945 163731 179403 -342288
832682142818320640 153724 163409 179441 -342305
832682142836502528 153282 163100 179507 -342260
832682142854684288 152790 162596 179464 -342274
832682142872866176 152356 162118 179458 -342281
832682142891047936 151856 161664 179399 -342341
832682142909229696 151429 161218 179451 -342310
832682142927411584 151057 160827 179402 -342285
832682142945593344 150776 160588 179423 -342209
832682142963775232 150529 160281 179338 -342315
832682142981956992 150478 160237 179438 -342260
832682143000138880 150431 160210 179350 -342254
832682143018320640 150534 160338 179402 -342280
832682143036502528 150697 160550 179437 -342266
832682143054684288 150948 160766 179418 -342263
832682143072866176 151221 160929 179368 -342302
832682143091047936 151481 161220 179370 -342244
832682143109229696 151681 161421 179399 -342228
832682143127411584 151911 161635 179433 -342288
832682143145593344 152104 161779 179431 -342267
832682143163775232 152131 161959 179480 -342246
832682143181956992 152211 162018 179416 -342260
832682143200138880 152241 162069 179442 -342280
832682143218320640 152225 162069 179422 -342279
832682143236502590 152308 162074 179455 -342261
832682143254714112 152277 162130 179446 -342267
832682143272925696 152422 162168 179402 -342335
832682143291137408 152485 162257 179399 -342300
832682143309348992 152686 162471 179416 -342282
832682143327560576 152843 162646 179374 -342297
832682143345772160 153167 162958 179430 -342295
832682143363983872 153486 163134 179368 -342260
832682143382195456 153745 163478 179405 -342242
832682143400407040 153945 163751 179424 -342282
832682143418618624 154111 163913 179402 -342364
832682143436830336 154129 163928 179396 -342314
832682143455041920 154034 163860 179484 -342285
832682143473253504 153802 163601 179416 -342263
832682143491465088 153498 163262 179376 -342308
832682143509676800 153027 162816 179372 -342335
832682143527888384 152531 162401 179322 -342366
832682143546099968 152062 161878 179332 -342333
832682143564311552 151641 161468 179402 -342295
832682143582523264 151203 160963 179356 -342327
832682143600734848 150896 160683 179386 -342333
832682143618946432 150676 160396 179414 -342312
832682143637158016 150450 160264 179396 -342280
832682143655369728 150349 160131 179357 -342319
832682143673581312 150417 160173 179403 -342280
832682143691792896 150570 160363 179413 -342226
832682143710004480 150765 160559 179450 -342239
832682143728216192 151039 160863 179427 -342316
832682143746427776 151295 161128 179395 -342311
832682143764639360 151530 161348 179436 -342263
832682143782850944 151776 161542 179409 -342263
832682143801062656 151965 161746 179416 -342261
832682143819274240 152138 161899 179469 -342225
832682143837485824 152127 161974 179433 -342220
832682143855697408 152205 162064 179450 -342247
832682143873909120 152265 162025 179421 -342288
832682143892120704 152284 162036 179438 -342247
832682143910332288 152330 162049 179481 -342265
832682143928543872 152283 162141 179459 -342297
832682143946755634 152430 162188 179416 -342266
832682143964967936 152578 162272 179390 -342272
832682143983180288 152770 162482 179407 -342277
832682144001392768 153008 162770 179412 -342219
832682144019605120 153249 163024 179376 -342273
832682144037817472 153500 163305 179435 -342312
832682144056029952 153755 163582 179364 -342297
832682144074242304 153982 163790 179379 -342291
832682144092454784 154101 163843 179369 -342279
832682144110667136 154122 163858 179399 -342253
832682144128879488 153964 163697 179410 -342300
832682144147091968 153735 163475 179465 -342260
832682144165304320 153350 163087 179455 -342281
832682144183516672 152929 162702 179465 -342228
832682144201729152 152434 162157 179416 -342279
832682144219941504 152016 161699 179429 -342272
832682144238153984 151512 161258 179440 -342279
832682144256366336 151111 160855 179463 -342242
832682144274578688 150767 160499 179389 -342250
832682144292791168 150542 160358 179391 -342226
832682144311003520 150378 160168 179372 -342305
832682144329215872 150395 160146 179405 -342287
832682144347428352 150418 160224 179362 -342274
832682144365640704 150655 160362 179408 -342267
