TIMESTAMP PPG0 PPG1 PPG2 AMBIENT
830877241882209664 519973 437900 441242 183132
830877241900391424 520070 438006 441343 183109
830877241918573312 520130 438048 441456 183089
830877241936755072 520259 438091 441536 183092
830877241954936960 520357 438127 441649 183032
830877241973118720 520505 438203 441746 183030
830877241991300608 520707 438277 441876 183093
830877242009482368 520785 438292 441945 183065
830877242027664256 520889 438392 442110 183049
830877242045846016 521033 438503 442267 183042
830877242064027904 521166 438600 442408 183081
830877242082209664 521384 438690 442588 183024
830877242100391424 521469 438819 442741 183010
830877242118573312 521714 438821 442904 183074
830877242136755072 521816 438886 442964 183056
830877242154936960 521715 438835 442882 183136
830877242173118720 521325 438688 442568 183142
830877242191300608 520823 438355 442145 183162
830877242209482368 520143 438051 441653 183071
830877242227664256 519651 437735 441224 183103
830877242245846016 519093 437368 440783 183082
830877242264027904 518657 437115 440430 183075
830877242282209664 518349 436815 440220 183123
830877242300391424 518075 436665 439984 183123
830877242318573312 517810 436464 439824 183100
830877242336755072 517681 436342 439813 183106
830877242354936960 517565 436237 439645 183092
830877242373118720 517491 436213 439713 183088
830877242391300608 517485 436078 439671 183112
830877242409482368 517440 436035 439657 183106
830877242427664256 517408 436005 439723 183145
830877242445846016 517407 435950 439705 183114
830877242464027904 517374 435936 439660 183070
830877242482209664 517410 435844 439695 183156
830877242500391424 517261 435815 439641 183102
830877242518573358 517187 435756 439660 183089
830877242536767872 517164 435622 439578 183067
830877242554962432 517190 435574 439578 183067
830877242573156992 517156 435546 439578 183075
830877242591351680 517206 435548 439598 183082
830877242609546240 517201 435517 439703 183132
830877242627740800 517280 435510 439800 183084
830877242645935360 517344 435518 439809 183119
830877242664130048 517478 435574 439899 183093
830877242682324608 517567 435548 440005 183092
830877242700519168 517601 435520 440106 183092
830877242718713728 517741 435628 440251 183091
830877242736908416 517851 435687 440318 183088
830877242755102976 518013 435757 440441 183083
830877242773297536 518110 435788 440491 183075
830877242791492096 518212 435827 440610 183083
830877242809686784 518390 435885 440807 183140
830877242827881344 518519 435954 440913 183116
830877242846075904 518674 436034 441055 183145
830877242864270464 518823 436088 441152 183081
830877242882465152 518931 436119 441257 183056
830877242900659712 519130 436197 441403 183074
830877242918854272 519185 436227 441527 183046
830877242937048832 519008 436160 441392 183023
830877242955243520 518648 435974 441105 183035
830877242973438080 518177 435722 440661 183084
830877242991632640 517546 435347 440242 183030
830877243009827200 516926 434886 439752 183027
830877243028021760 516322 434565 439318 183025
830877243046216448 515899 434233 438961 183033
830877243064411008 515515 433935 438700 183065
830877243082605568 515163 433684 438477 183072
830877243100800128 514903 433419 438322 183019
830877243118994816 514749 433289 438194 183007
830877243137189376 514632 433136 438161 183005
830877243155383936 514547 433133 438099 182962
830877243173578496 514554 433077 438104 183013
830877243191773184 514556 432963 438167 183031
830877243209967806 514527 432887 438062 182987
830877243228163328 514490 432820 438088 183021
830877243246358912 514364 432690 438063 183012
830877243264554496 514294 432614 438016 183023
830877243282750080 514230 432581 437937 182984
830877243300945664 514093 432487 437940 183003
830877243319141248 514051 432374 437941 182971
830877243337336832 514085 432256 437920 183000
830877243355532416 514084 432270 437946 183007
830877243373727872 514071 432295 437971 183019
830877243391923456 514068 432236 438011 182993
830877243410119040 514094 432210 438040 182987
830877243428314624 514156 432221 438105 183038
830877243446510208 514288 432296 438159 183043
830877243464705792 514375 432301 438258 183017
830877243482901376 514487 432291 438356 183049
830877243501096960 514566 432331 438500 183065
830877243519292544 514636 432336 438575 182971
830877243537488128 514753 432357 438650 182992
830877243555683712 514836 432400 438811 182971
830877243573879296 514964 432385 438888 182966
830877243592074880 515110 432426 438935 182989
830877243610270464 515280 432537 439140 183019
830877243628465920 515404 432593 439321 183032
830877243646661504 515534 432683 439395 183052
830877243664857088 515666 432707 439564 183015
830877243683052672 515791 432760 439694 183073
830877243701248256 515916 432801 439762 183053
830877243719443840 516068 432920 439927 183054
830877243737639424 516228 432964 440021 183053
830877243755835008 516322 433022 440131 183033
830877243774030592 516103 432969 440050 183031
830877243792226176 515694 432710 439730 183006
830877243810421760 515131 432367 439287 183019
830877243828617344 514495 431958 438792 183004
830877243846812928 513875 431533 438343 182982
830877243865008512 513317 431145 437880 183026
830877243883203968 512821 430757 437505 183043
830877243901399552 512482 430454 437220 182980
830877243919595231 512177 430165 436974 182984
830877243937790848 511924 429989 436852 183015
830877243955986432 511820 429947 436796 182989
830877243974182016 511683 429785 436755 183010
830877243992377600 511632 429679 436739 182992
830877244010573184 511648 429650 436754 182987
830877244028768768 511551 429554 436675 182969
830877244046964352 511505 429520 436686 182983
830877244065160064 511451 429491 436716 182983
830877244083355648 511366 429329 436634 182976
830877244101551232 511303 429251 436578 182948
830877244119746816 511257 429194 436496 182984
830877244137942400 511122 429055 436461 182998
830877244156137984 510978 429017 436387 182966
830877244174333568 510949 428969 436452 182965
830877244192529152 510955 428851 436449 182962
830877244210724736 511011 428832 436441 182957
830877244228920320 511021 428820 436469 182980
830877244247115904 511036 428878 436564 182995
830877244265311488 511117 428820 436605 182951
830877244283507200 511183 428846 436715 182995
830877244301702784 511279 428912 436774 183057
830877244319898368 511366 428863 436898 183065
830877244338093952 511455 428876 436995 183051
830877244356289536 511551 428891 437085 182989
830877244374485120 511732 429021 437257 183006
830877244392680704 511809 429038 437328 183016
830877244410876288 511904 429049 437441 182957
830877244429071872 512022 429195 437561 182942
830877244447267456 512165 429243 437622 183027
830877244465463040 512305 429219 437732 183023
830877244483658624 512458 429329 437854 183002
830877244501854336 512581 429411 438031 182970
830877244520049920 512647 429474 438121 182931
830877244538245504 512816 429590 438234 182959
830877244556441088 512944 429661 438400 183032
830877244574636672 513123 429739 438486 183023
830877244592832256 513182 429829 438660 183068
830877244611027840 512890 429717 438435 182935
830877244629223424 512502 429385 438083 183025
830877244647419013 511844 429016 437623 182983
830877244665613568 511201 428543 437083 182968
830877244683808128 510558 428128 436595 183005
830877244702002816 509888 427732 436121 182990
830877244720197376 509438 427339 435799 183014
830877244738391936 509008 427034 435453 182984
830877244756586624 508667 426724 435207 183004
830877244774781184 508438 426515 435017 182982
830877244792975744 508274 426388 434924 182957
830877244811170432 508231 426289 434906 183044
830877244829364992 508133 426123 434827 182983
830877244847559552 508111 426144 434864 182967
830877244865754240 508059 426085 434846 182985
830877244883948800 507981 425944 434789 182924
830877244902143360 507953 425938 434784 182942
830877244920338048 507885 425816 434712 182954
830877244938532608 507788 425763 434663 182976
830877244956727168 507700 425735 434658 182921
830877244974921856 507606 425624 434518 182930
830877244993116416 507614 425552 434584 182980
830877245011310976 507544 425525 434565 182984
830877245029505664 507568 425546 434547 183016
830877245047700224 507439 425465 434485 182963
830877245065894784 507490 425393 434557 182967
830877245084089472 507519 425409 434576 182966
830877245102284032 507622 425467 434736 182978
830877245120478592 507695 425494 434767 182967
830877245138673280 507816 425473 434821 182928
830877245156867840 507920 425559 434882 183019
830877245175062400 508012 425633 434958 182932
830877245193257088 508189 425672 435108 182902
830877245211451648 508322 425750 435274 182944
830877245229646208 508455 425817 435406 182947
830877245247840896 508564 425892 435492 182945
830877245266035456 508779 425962 435577 182964
830877245284230016 508919 426075 435744 182958
830877245302424704 509081 426091 435881 182983
830877245320619264 509172 426180 435996 182956
830877245338813824 509313 426287 436125 182973
830877245357008512 509504 426346 436237 182971
830877245375203119 509632 426434 436344 182948
830877245393398400 509820 426551 436473 182939
830877245411593728 509929 426615 436580 182921
830877245429789184 510083 426666 436765 182965
830877245447984512 510254 426761 436916 182923
830877245466179840 510421 426887 437018 182982
830877245484375296 510435 426895 437043 182938
830877245502570624 510142 426786 436793 182903
830877245520765952 509640 426479 436385 182899
830877245538961280 508960 426020 435857 182927
830877245557156736 508280 425545 435267 182965
830877245575352064 507667 425125 434813 182952
830877245593547392 507036 424679 434309 182949
830877245611742848 506547 424318 433942 182937
830877245629938176 506198 424014 433656 182928
830877245648133504 505884 423753 433397 182889
830877245666328960 505705 423586 433203 182876
830877245684524288 505527 423432 433112 182938
830877245702719616 505348 423354 433039 182927
830877245720915072 505296 423301 432970 182928
830877245739110400 505256 423224 432937 182913
830877245757305728 505194 423181 432937 182893
830877245775501184 505194 423107 432930 182917
830877245793696512 505165 423060 432916 182969
830877245811891840 505056 422965 432821 182965
830877245830087168 505026 422991 432767 182931
830877245848282624 504970 422879 432745 182919
830877245866477952 504823 422819 432692 182855
830877245884673280 504770 422772 432561 182852
830877245902868736 504859 422731 432620 182946
830877245921064064 504795 422699 432660 182893
830877245939259392 504803 422653 432562 182864
830877245957454848 504892 422640 432607 182868
830877245975650176 504914 422608 432699 182931
830877245993845504 505013 422689 432819 182915
830877246012040960 505065 422772 432993 182934
830877246030236288 505129 422845 433019 182880
830877246048431728 505256 422850 433094 182875
830877246066625792 505376 422946 433214 182911
830877246084819840 505538 422985 433294 182889
830877246103013888 505688 423111 433439 182867
830877246121207936 505873 423174 433545 182920
830877246139401984 505983 423237 433713 182863
830877246157596032 506200 423334 433827 182885
830877246175790080 506363 423437 433944 182929
830877246193984128 506473 423532 434022 182975
830877246212178176 506659 423628 434193 182987
830877246230372224 506698 423686 434327 182933
830877246248566272 506884 423773 434453 182966
830877246266760320 507115 423903 434641 182933
830877246284954368 507272 423993 434729 182890
830877246303148416 507466 424112 434927 182941
830877246321342464 507588 424154 435002 182867
830877246339536512 507840 424318 435166 182964
830877246357730560 508040 424436 435293 182933
830877246375924608 508232 424482 435523 182958
830877246394118656 508314 424562 435575 182932
830877246412312704 508264 424594 435522 182941
830877246430506752 507954 424396 435237 182929
830877246448700800 507370 424108 434861 182963
830877246466894848 506705 423603 434215 182912
830877246485088896 506083 423218 433690 182967
830877246503282944 505418 422764 433238 182854
830877246521476992 504919 422394 432837 182864
830877246539671040 504450 422038 432424 182856
830877246557865088 504149 421843 432188 182915
830877246576059136 503927 421565 431988 182826
830877246594253184 503749 421453 431926 182901
830877246612447232 503663 421342 431810 182895
830877246630641280 503593 421308 431720 182888
830877246648835328 503600 421301 431758 182920
830877246667029376 503584 421288 431756 182897
830877246685223424 503624 421235 431725 182913
830877246703417472 503549 421218 431689 182901
830877246721611520 503510 421202 431683 182913
830877246739805568 503489 421239 431677 182913
830877246757999643 503417 421162 431608 182929
830877246776195584 503385 421030 431476 182925
830877246794391552 503327 420940 431452 182843
830877246812587392 503370 420952 431504 182924
830877246830783360 503334 420942 431512 182925
830877246848979328 503322 420919 431497 182846
830877246867175168 503418 420972 431600 182902
830877246885371136 503484 421002 431667 182883
830877246903567104 503515 421025 431730 182845
830877246921762944 503671 421065 431815 182888
830877246939958912 503789 421177 431889 182929
830877246958154880 503962 421297 432016 182885
830877246976350720 504079 421284 432107 182889
830877246994546688 504233 421450 432232 182942
830877247012742656 504389 421558 432377 182922
830877247030938624 504560 421607 432507 182948
830877247049134464 504745 421679 432655 182917
830877247067330432 504862 421775 432705 182904
830877247085526400 505094 421860 432855 182903
830877247103722240 505283 422059 433031 182890
830877247121918208 505416 422113 433085 182815
830877247140114176 505632 422250 433303 182881
830877247158310016 505764 422365 433429 182883
830877247176505984 505954 422450 433537 182902
830877247194701952 506138 422596 433678 182838
830877247212897792 506373 422748 433859 182870
830877247231093760 506508 422817 434008 182919
830877247249289728 506700 422851 434149 182901
830877247267485568 506845 422994 434293 182932
830877247285681536 507105 423170 434426 182900
830877247303877504 507298 423308 434555 182917
830877247322073344 507274 423329 434509 182852
830877247340269312 507016 423167 434353 182878
830877247358465280 506534 422879 433936 182890
830877247376661120 505911 422424 433314 182846
830877247394857088 505376 422049 432898 182924
830877247413053056 504768 421667 432411 182946
830877247431249024 504339 421320 432064 182867
830877247449444864 503941 421015 431682 182872
830877247467640802 503597 420795 431460 182839
830877247485835264 503487 420655 431281 182865
830877247504029696 503297 420495 431126 182819
830877247522224000 503207 420492 431042 182835
830877247540418432 503183 420479 431027 182841
830877247558612736 503275 420476 431109 182915
830877247576807168 503324 420517 431118 182868
830877247595001472 503306 420466 431108 182860
830877247613195904 503306 420505 431144 182862
830877247631390208 503311 420466 431146 182882
830877247649584640 503261 420391 431132 182829
830877247667778944 503218 420406 431106 182848
830877247685973376 503162 420301 430989 182893
830877247704167808 503164 420331 430972 182867
830877247722362112 503170 420345 430943 182903
830877247740556544 503201 420295 430922 182852
830877247758750848 503180 420302 430947 182835
830877247776945280 503158 420324 431004 182889
830877247795139584 503309 420434 431077 182895
830877247813334016 503391 420518 431157 182895
830877247831528320 503563 420573 431194 182896
830877247849722752 503637 420598 431288 182892
830877247867917056 503812 420672 431394 182892
830877247886111488 503929 420759 431512 182873
830877247904305920 504138 420844 431676 182907
830877247922500224 504285 421018 431846 182910
830877247940694656 504490 421056 431947 182944
830877247958888960 504657 421212 432098 182915
830877247977083392 504750 421290 432210 182865
830877247995277696 504927 421396 432363 182892
830877248013472128 505158 421535 432520 182914
830877248031666432 505286 421659 432589 182928
830877248049860864 505428 421831 432791 182933
830877248068055168 505661 421996 432957 182918
830877248086249600 505872 422113 433065 182935
830877248104444032 506081 422192 433185 182911
830877248122638336 506258 422298 433306 182880
830877248140832768 506420 422318 433447 182790
830877248159027072 506667 422560 433654 182835
830877248177221504 506644 422580 433718 182822
830877248195415756 506480 422491 433503 182894
830877248213612416 505971 422132 433002 182820
830877248231809024 505415 421748 432494 182903
830877248250005504 504692 421343 431957 182873
830877248268202112 504136 420902 431368 182916
830877248286398592 503557 420545 430894 182899
830877248304595200 503121 420205 430503 182862
830877248322791680 502712 419971 430173 182830
830877248340988288 502416 419739 429920 182855
830877248359184896 502213 419627 429777 182901
830877248377381376 502189 419516 429762 182906
830877248395577984 502059 419455 429619 182879
830877248413774464 502076 419439 429631 182885
830877248431971072 502029 419445 429612 182842
830877248450167552 502073 419401 429602 182885
830877248468364160 502039 419356 429668 182847
830877248486560768 502055 419379 429672 182839
830877248504757248 502024 419365 429573 182837
830877248522953856 501938 419259 429535 182815
830877248541150336 501961 419321 429468 182931
830877248559346944 501863 419211 429339 182824
830877248577543424 501799 419170 429320 182815
830877248595740032 501823 419203 429324 182877
830877248613936640 501929 419205 429409 182865
830877248632133120 501927 419256 429497 182882
830877248650329728 501975 419221 429461 182830
830877248668526208 502115 419348 429601 182895
830877248686722816 502201 419301 429621 182904
830877248704919296 502299 419353 429682 182860
830877248723115904 502364 419518 429783 182903
830877248741312512 502544 419588 429943 182845
830877248759508992 502652 419683 430085 182883
830877248777705600 502860 419792 430132 182898
830877248795902080 502997 419889 430285 182847
830877248814098688 503209 419961 430374 182856
830877248832295168 503385 420044 430500 182879
830877248850491776 503611 420270 430683 182902
830877248868688384 503734 420321 430831 182882
830877248886884864 503879 420447 430979 182846
830877248905081327 504092 420586 431046 182911
830877248923278080 504307 420673 431131 182886
830877248941474816 504436 420833 431298 182870
830877248959671424 504640 420950 431493 182881
830877248977868160 504822 421094 431605 182945
830877248996064768 505019 421193 431730 182866
830877249014261504 505184 421313 431852 182832
830877249032458112 505436 421501 432037 182907
830877249050654848 505617 421608 432184 182849
830877249068851584 505587 421558 432052 182887
830877249087048192 505237 421401 431798 182912
830877249105244928 504668 421087 431250 182914
830877249123441536 504065 420638 430620 182892
830877249141638272 503339 420303 430068 182886
830877249159834880 502786 419863 429482 182924
830877249178031616 502226 419566 429020 182912
830877249196228352 501806 419248 428676 182876
830877249214424960 501451 419046 428354 182888
830877249232621696 501196 418785 428189 182879
830877249250818304 500989 418707 428014 182854
830877249269015040 500814 418546 427938 182894
830877249287211648 500796 418519 427881 182841
830877249305408384 500780 418487 427819 182887
830877249323605120 500740 418469 427764 182878
830877249341801728 500705 418455 427769 182865
830877249359998464 500674 418403 427690 182900
830877249378195072 500622 418379 427618 182864
830877249396391808 500571 418385 427587 182853
830877249414588416 500529 418339 427546 182867
830877249432785152 500462 418290 427488 182875
830877249450981888 500432 418284 427480 182881
830877249469178496 500391 418277 427462 182883
830877249487375232 500437 418294 427480 182873
830877249505571810 500501 418270 427490 182863
830877249523768192 500518 418280 427478 182858
830877249541964544 500605 418316 427520 182872
830877249560160896 500649 418373 427569 182842
